Vendor ID,Vendor Name,Address,City,State,Postal Code,Contact Name,Phone
00004067,granada house,70 adamson street,allston,MA,02134,Erik French,6172542923
00004189,LRS,234 Ballardvale St.,Wilmington,MA,01887,Diane Milner,9789887800
00004368,"Parsons Transporation Group, Inc.",100 High St,Boston,MA,02110,David Markt,7812480696
00004439,"J. J. Curran & Son, Inc.",501 S. Pearl Street,Albany,NY,12202,Tracy Curran,5184348110
00004451,"J.C. Technology, Inc.",575 Lively Blvd.,Elk Grove Village,IL,60007,Michael Gasparino,8479526900
00004557,"J. J. Stanisewski & Sons, Inc.",114 Williams St.,Northampton,MA,01060,Sandra Stanisewski,4137745214
00004605,"J. White's Automotive, LLC.",1800 Worcester Road,Framingham,MA,01702,Shirley Warren,5088724752
00004688,LP Garey Interpreting Services,63 Peterborough St,Jaffrey,NH,03452,Lesley Garey,6037599534
00004695,Passonno Paints,500 Broadway,Watervliet,NY,12189,Richard Marriner,5182733822
00004916,Alma L. Bournazian,22 Grove Place Unit 27,Winchester,MA,01890,Alma Bournazian,7812183531
00004922,Lucy Annett,PO Box 161314,San Diego,CA,92176-1314,Lucy Annett,8574926384
00005295,Parsons Environment & Infrastructure Group Inc.,"100 High Street, 4th floor",Boston,MA,02110,Paul Boyajian,6174491402
00005310,"Gray Manufacturing Company, Inc.",3501 S Leonard Rd,St. Joseph,MO,64503-1756,Amy Cline-Shelton,8162336121
00005554,"J.F. Griffin Publishing, LLC",430 Main St,Williamstown,MA,01267,P. Jeremy Garnish,4132121923
00006173,Louise Rice,104 Auburn Street,Cambridge,MA,02139,Louise Rice,6176612064
00006246,Cape Cod Conservation District,"270 Communication Way, Unit 1-H",Hyannis,MA,02601,Sharon Randall,5087718757
00006537,"Cape Cod Battery, Inc.",78 County Rd,East Freetown,MA,02717,John Fistori,5087632895
00006624,Pat Bagnell,6 Lookout Farm Rd,Natick,MA,01760,Patricia Bagnell,5086551854
00006780,"Gravotech, Inc.",2200 Northmont Pkwy,Duluth,GA,30096,Jeanne Ares,8008437637
00006925,Cape Cod Child Development Program,83 Pearl Street,Hyannis,MA,02601,Rob Mucha,5087756240
00006942,Barse Trucking LLC,12602 Darren Ct,Riverview,FL,33579,Raymond Barse,8136729291
00007028,"Dynamic Displays, Inc.",1625 Westgate Road,Eau Claire,WI,54703,Michael Conlin,7158359440
00007031,"DIVISION 8 OPENINGS, INC.",P.O. Box 424,Slatersville,RI,02876,Richard Simmons,4017661125
00007062,Lucky Sevens Carpet,1752 Riverdale Street,West Springfield,MA,01089,Gabriel Khatchadourian,4132731965
00007092,"J.F. Shea Construction, Inc.",667 Brea Canyon Road,Walnut,CA,91789,Dennis Poulton,9095940990
00007111,"Lowell House, Inc.",101 Jackson Street,Lowell,MA,01852,Diana Newell,9784598656
00007402,"Cytel Group, Inc.","4900 Hopyard Road, Suite 100",Pleasanton,CA,94588,James Baker,9253546893
00007467,LOWER CAPE COD COMMUNITY DEVELOPMENT CORPORATION,260 Cranberry Highway,Orleans,MA,02653,Andrea Aldana,5082407873
00007517,PASCO scientific,10101 Foothills Blvd,Roseville,CA,95747,Greg Montgomery,9167863800
00007629,Gravity Switch,89 Market Street,Northampton,MA,01060,Emma Golden,4135869596
00007649,LPM Writing & Desing,17 Anchor Drive,Forestdale,MA,02644,Laura McMahon,5082072736
00007667,Graflix,PO Box 61,Milton,MA,02186,Benjamin Nosek,5084391463
00007793,"J. Sallese & Sons, Inc.","5 Crescent Avenue, Unit 12",Woburn,MA,01801,Jeanne Lally,7812463508
00007832,Lucid Design Group,304 12th St,Oakland,CA,94607,shay  ohrel,5129442985
00008051,"J.G. Edwards Construction Co., Inc.",P.O. Box 100,Portsmouth,RI,02871-0100,James Edwards,4016839110
00008075,Cape Cod Charter Fishing,PO Box 894,South Orleans,MA,02662,Arthur Brosnan Jr,5082407896
00008109,"Gravity Pro Consulting, LLC",21 Via Lampara,San Clemente,CA,92673-7054,Jason Eckenrode,9092101760
00008111,Parsons,100 High Street,boston,MA,02110,robert desrosiers,6174491415
00008219,Lower Pioneer Valley Educational Collaborative,174 Brush Hill Avenue,West Springfield,MA,01089,Anna Bishop,4137352200
00008261,"Loureiro Engineering Associates, Inc.",100 Northwest Drive,Plainville,CT,06062,Maureen  Regan,8607476181
00008677,Graham Research Consultants,6475 E. Pacific Coast Hwy. #136,Long Beach,CA,90803,Cheryl Rygg,7143749326
00009219,Cape Cod Center for Women,POB 141,N Falmouth,MA,02556,Pamela Perry,5085647233
00009506,"Archarithms, Inc.","401 Holmes Avenue, Suite H",Huntsville,AL,35801,Randy Riley,2564262915
00009528,"Granicus, LLC","408 St. Peter St., Ste 600",St. Paul,MN,55102,Hanna Larson,8003140147
00009544,J.P. Morgan Securities LLC,50 Rowes Wharf,Boston,MA,02110,James Oppedisano,6173100570
00009631,"Great American Desk Company, Inc.",1600 W Mishawaka Rd,Elkhart,IN,46517,David Gruber,5742933591
00009638,Aid Equipment Company LLC,172 West 9400 South,Sandy,UT,84070,Scot Harris,8015662112
00010045,"Louis F. Freitas Associates, Inc.",126 Main Street,Easton,MA,02356,Richard Freitas,5082382042
00010368,"LSS Education For Life ,LLc",25 Raymond Street,Dudley,MA,01571,keith Banks,5084617724
00010369,"BDO USA, P.C.",84010 Greensboro Drive,McLean,VA,22102,Corey Eide,7038930600
00010475,Gray Systems Inc. dba Validus,240 Parkerville Road,Southborough,MA,01772,Valeda Talamini,8883892250
00010524,Pate Adams Landscape Architects,634 Commonwealth Avenue STE 206,Newton,MA,02459,Natalie Adams,6175848843
00010620,"J. J. Cardosi, Inc.",28 Boston Street,East Providence,RI,02914,John  Cardosi Jr,4014356101
00010997,"Pathways for Children, Inc.",29 Emerson Ave,Gloucester,MA,01930-2556,Sarah McLanahan,9782812400
00011216,J. Mahoney & Associates,290 Turnpike Road,Westborough,MA,01581,Jed  Mahoney,5084257472
00012117,"J.B.A. Consulting Engineers, Inc., dba NV5 Consultants",701 Hebron Ave,Glastonbury,CT,06033,Walt Donzila,8608821515
00012178,"Granicus, Inc.","707 17th Street, Suite 4000",Denver,CO,80202,Sean Smith,7202409586
00012305,"Granite Inliner, LLC",195A Norridgewock Road,Fairfield,ME,04937,Jean Gorey,2074539900
00012437,J.A.G. & Company LLC,PO Box 423,Swampscott,MA,01907,Judith Gosselin,6036824568
00013037,"Louison Costello Condon & Pfaff, LLP",101 Summer Street,Boston,MA,02186,David Condon,6174390305
00013851,Lucille Traina,32 Daly Road,Medford,MA,02155,Lucille Traina,7813548607
00013899,David Hark Associates,600 Loring Avenue,Salem,MA,01970,David Hark,9787414744
00013916,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,Lisa Taylor-Montminy,9789348458
00013964,J.G. Machine Co.,21B Concord St.,Wilmington,MA,01887,Susan Kinneen,9784475279
00014032,Grandy's Ice Cream,6 Irving Drive,Walpole,MA,02081,Nina Grandy,5083318818
00014098,Gravlin Stoneworks inc,33 Laurel Lane,Groton,MA,01450,Errika Gravlin,9784482211
00014110,"Partnerships for a Skilled Workforce, Inc.",420 Lakeside Avenue,Marlborough,MA,01752,Kelley French,5082816910
00014180,"J. L. Enterprises, Inc.",J. L. McIntosh,Canton,MA,02021,Susan Kelley,7818216300
00014191,"LS&S, LLC",145 River Rock Drive,Buffalo,NY,14207,John Bace,8004684789
00014236,J.P. Routhier & Sons Recycling Corp,256 Ayer Road,Littleton,MA,01460,Jessica Figueroa,9787724251
00014444,J.L. Shepherd and Associates,1010 Arroyo Ave,San Fernando,CA,91340,Mary Shepherd,8188982361
00014556,Lowell Transitional Living Center,Lowell Transtional Living Center,Lowell,MA,01852,Director,9784589888
00014708,"Lucinda Lewis & Associates, LLC",120 New Balch St.,Beverly,MA,01915,Lucinda Lewis,6176508299
00014775,Grafton Housing Authority,10 Maxwell Drive,N. Grafton,MA,01536,Barbara Marsden,5088396089
00015139,Great Barrington Housing Authority,2 Bernard Gibbons Drive,Great Barrington,MA,01230,Tina Danzy,4132741142
00015207,"Grayhair Software, Inc.",124 Gaither Dr.,"Mt. Laurel, NJ",NJ,08054,Robert Croce,8569242215
00015410,Lowell Police Department,50 Arcand Drive,Lowell,MA,01852,Maryann Ballotta,9786741903
00015571,Past Matters Inc.,107 E Montgomery St,Baltimore,MD,21230,Debora Rodrigues,4104099695
00015984,LPP Consulting Services,7 Keller Lane,Dobbs Ferry,NY,10522,Philip Parr,5169830407
00016367,"Cape Cod Commercial Fishermen's Alliance, Inc.",1566 Main St,Chatham,MA,02633,Melissa Sanderson,5089452432
00016453,"Part D Advisors, Inc.",17199 N. Laurel Park Drive,Livonia,MI,48152,Eric Singer,7344598950
00016542,"J. Jenkins Sons Co, Inc.",1801 Whitehead Rd,Baltimore,MD,21207,Shirley Sparagana,4102655200
00016673,Lucid Data Corporation,"6279 Tri-Ridge Blvd, Ste. 206",Loveland,OH,45140,John Wills,5132484999
00016964,Cape Cod Arts & Art Therapy Inc.,29 Derby Lane,Harwich,MA,02645,Barbara Greenspan,7744087217
00017229,"Grayson Singley Associates, LLC",195 Linton Hill Road,Duncannon,PA,17020,LeeAnn Singley,7175543739
00017297,Cape Cod Collaborative,418 Bumps River Road,Osterville,MA,02655,James Brown,5084206950
00017491,Patient Care Solutions LLC,319 Lynnway,Lynn,MA,01901,Maxwell Dede,7815950311
00017706,"Pathway to Possible, Inc.",1301 CENTRE STREET,NEWTON CENTRE,MA,02459,Meredith Wood,6179646860
00017824,Cape Cod Business Solutions,P.O. Box 323,Sandwich,MA,02563,Kevin Donahue,5089515036
00017827,Paskowsky,20 Tilton Lane,Andover,MA,01810,Mark Paskowsky,6174018198
00018420,Graycastle Concrete Company,138 Lexington Avenue,Providence,RI,02907,Randy White,4016586383
00018476,LSI Consulting,144 North Road,Sudbury,MA,01776,Bruce Bellemore,5082439509
00018682,Parterre Ecological Services,2 Republic Rd,North Billerica,MA,01862,Miles  Connors,6174922230
00018787,J. R. Grady Company LLC,63 Middlesex Street,N. Chelmsford,MA,01863,Gary Smith,9784583662
00019069,LSL Cleaning Company,410 N. Main St.,Randolph,MA,02368,Louise Powell-Mello,5088406902
00019088,Grafton Information Services. Inc.,43 Federal Street,Newburyport,MA,01950,Maureen Murphy,9788733300
00019569,"Patient Resolutions, Inc.",131 Center St.,Ludlow,MA,01056,Lisa Crouser,8665573765
00019670,LPC Commercial Services Inc,53 State Street,Boston,MA,02109,Steven Foster,6179514139
00019999,Passport,"1300 S Mint Street, Ste 200",Charlotte,NC,28203,Zach Jaspers,7048378066
00020335,Parmar Beverage,41 Russell Street,Hadley,MA,01035,Connie Foster,4133870536
00020479,LOVE AND MERCY HOME HEALTHCARE,"30 eastbrook rd, suite 402",dedham,MA,02026,anthony Ehikhamhen,7813266200
00020538,J.R. CAD Services,15 Old Jacobs Rd,Georgetown,MA,01833,Julie Rogers,9785906174
00020873,Great Care Lawn Service,1325 Pleasant St,Worcester,MA,01602,Andrew Hendriks,5082942850
00021018,"LSP Ware, LLC","6457 Glenway Avenue, Suite 125",Cincinnati,OH,45211,Phyllis Smith,8558779273
00021089,Gratama Consulting,12851 111 Ave NE,Kirkland,WA,98034,Candace  Gratama,2062298530
00021288,Graystone Group,2710 North Avenue,Bridgeport,CT,06604,Allan Sacks,2035490060
00021629,Grand Cove Productions,17 Quahaug lane,South Dennis,MA,02660,Thomas Milkey,7742124200
00021689,"Lucid Technologies, Inc.",11709 Lord Philip Ct.,Germantown,MD,20876,Daniel Lottes,2409941193
00021715,"GraVoc Associates, Inc.",10 Centennial Dr.,Peabody,MA,01960,Arnold Atkin,9785389055
00021763,"Grafton Mobility Services, Inc",1463 Grafton Rd.,Millbury,MA,01527,Chris Russell,6178995017
00021784,Lowell Janitorial Supply,590 Dutton St,Lowell,MA,01854,Christine Steele,9784548336
00022020,LRE INC DBA LEE RYDER LAMINATION,6187 NW 167th St. Unit H-10,Miami,FL,33015,Magena Becerra-Pacheco,8006241980
00022265,"J.M. Devine Co., Inc.",588 Pleasant Street,Norwood,MA,02062,James Devine,7812557001
00022445,"J. Mikulsky Railway Supply Co., Inc.",295 West 49th Street,Reading,PA,19606,JoAnn Mikulsky,6103701442
00022841,Parsec Systems Inc,18 Fletcher St,Foxborough,MA,02035,Tom Lopolito,6176946705
00022859,"J. L. Raymaakers & Sons, Inc.",PO Box 238,Westfield,MA,01085,Laurie Raymaakers,4135620601
00023161,"Lowell Parks & Conservation Trust, Inc.",PO Box 7162,Lowell,MA,01852,Jane  Calvin,9789340030
00023202,Cape Fishermen's Supply,P.O. Box172,Chatham,MA,02633,David Libby,5089453501
00023228,Lowmarkup Inc.,2640 Walnut Ave. Suite F.,Tustin,CA,92780,Chloe Ruiz,8007770333
00023297,"Pathways for Change, Inc.",588 Main Street,Worcester,MA,01608,Neil P Kennedy,5088527600
00023350,"Cape Cod Biofuels, Inc.",14B Jan Sebastian Drive,Sandwich,MA,02563,Andrew Davison,5088338666
00023353,"Parrilla Sports Apparel, LLC",13744 Crystal River Drive,Orlando,FL,32828,Pedro Parrilla,9173462117
00023472,"LP Consulting, LLC",138 Davis Avenue - Unit 1,Brookline,MA,02445,Lawrence  Palmacci,6177317964
00024490,GravesWileyITSecurity&Investigative Associates,5719 W Friendly Ave Suite 203,Greensboro,NC,27410,Kerry Graves,8006832173
00024692,Grafix Equipment & Leap Inks,48 Anderson Ave,New Milford,CT,06776,Sandra de Hoyos,2036489121
00024712,LPT LLC dba LT Consulting,193 High St,Holyoke,MA,01040,Lisa Totz,4132442506
00025093,Paster Training Inc.,25 Swinehart Rd,Gilbertsville,PA,19525,Matthew Haney,6109701776
00025178,"J.R.D., Inc.",P.O. Box 351,Assonet,MA,02702,Ross Rezendes,5086445786
00025270,Amy Schwartz,1 Wash Sq Vlg 16S,New York,NY,10012,Amy Schwartz,9173240750
00025313,"LPI, Inc.",36 Main Street,Amesbury,MA,01913,Paul Bruck,9783781180
00025451,"Patina Solutions Group, Inc.",13890 Bishops Drive,Brookfield,WI,53005,Barbara Haith,6179330904
00025633,Cape Cod Community College,2240 Iyannough Road,West Barnstable,MA,02668,Eric Anderson,7743304327
00025714,LRM Consulting Inc,30 UNION PARK ST,BOSTON,MA,02118-2199,Loriann Meagher,7812495995
00026205,LRP Recycling LLC,47 Mellen Street Suite 7,Ashland,MA,01702,Dan Nguyen,5083096218
00026209,Cape Cleaning Services,92 Rosary Lane #15,Hyannis,MA,02601,ROBERT HERRERA,5087710488
00026502,LRV Properties LLC,1855 Saint Francis street Apt. 1113,Reston,VA,20190,Luis Vicioso,4017147001
00026521,"Grafton School, Inc.  DBA Grafton Integrated Health Network",PO Box 2500,Winchester,VA,22601,Bonnie Zampino,5405420200
00026736,Becker's School Supplies,1500 Melrose Hwy,Pennsauken,NJ,08110,Robert  Becker,8005231490
00026789,"PassMark Software, Inc.","370 Convention Way, Level 2",Redwood City,CA,94063,Jeff Shackelford,6502162306
00027802,AMTEK Computer Services,1383 Calle Avanzado,San Clemente,CA,92673,Van Boone,8006526835
00028096,Grattan Line Construction Corp,35 Sullivan Rd,N. Billerica,MA,01862,Gayle Rubeski,9786637723
00028326,"love for all home care services, llc",129 Hartford Turnpike suite 4G,shrewsbury,MA,01545,shirley  owusu,5087627620
00028408,Partpoint Inc,3250 Quentin Street,Aurora,CO,80011,Paula Roy,9703004160
00028475,Cape Cod & Islands Appraisal Group,PO Box 545,Barnstable,MA,02630,Heather ROSS,5083629050
00028656,J.P. Morgan,383 Madison Avenue,New York,NY,10179,Frederick Putnam,2122700757
00028799,Graves Concrete,P.O. Box 680,East Templeton,MA,01438,Lynn McAvene,9789395712
00028866,"J.D'Amico, Inc.",10 York Ave.,Randolph,MA,02368,Nick Biello,7819613700
00029280,Gran Kriegel Associates Architects and Planners LLC,29 BROADWAY,NEW YORK,NY,10006,David Kriegel,2122061560
00029422,Graham LLC,358 West Main Street,Hyannis,MA,02601,Gary Graham,5087781461
00029551,Grafton and Upton Railroad,P0 Box 952,carver,MA,02330,Michael Milanoski,5088668190
00029584,"Graves & Doyle, Attorneys at Law","100 State Street, 9th Floor",Boston,MA,02109,Kerry Doyle,6175426400
00029601,"Pathway Services, Inc.",P.O. Box 472105,Tulsa,OK,74147,Everett Schmitz,9182599883
00029654,Love My Care Home Health Services,68 South Street #31,New Bedford,MA,02740,Helena Shields,7744007205
00030015,LOYAL TECHS LLC,1238 Tipperary Drive,Melbourne,MA,32940,Anthony Inguaggiato,8559156925
00030048,"J.M. O'Reilly & Associates, Inc.",1573 Main Street,Brewster,MA,02631,John O'Reilly,5088966601
00030265,"Gray & Pape, Inc.",1318 MAIN ST.,Cincinnati,OH,45202,Kristen Heitert,5132877700
00030710,"J.M.Colbourn, Inc.",39 State Road,Plymouth,MA,02360,Joanne Colbourn,5088301064
00030790,Pasco Inc.,101 E Cedar Ln,Fruitland,MD,21826,Dustin Kenney,4105462041
00030886,GRANDPARENTS N` CHARGE,PO Box 5318,Springfield,MA,01101,Gloria  Williams,4137880234
00030909,J.E. Watkins Construction Company,17 Clarendon Avenue,Lynn,MA,01902,Brent Watkins,7817321566
00030917,Patricia A. Ford,89 BEAR HILL RD,NORTH ANDOVER,MA,01845,Patricia Ford,9783876006
00030993,"J. Michael Roberts, Esq., P. C.",198 Columbia Road Suite 3,Hanover,MA,20339,"J. Michael Roberts, Esq., P. C.",7818783965
00031141,Pascale B Cajuste,P.O Box 2532,Brockton,MA,02305,Pascale B Cajuste,8574172774
00031215,Gray and Partners,30 Dalton Street,Boston,MA,02115,Reagan Gray GRAY,6175365191
00031251,"J.M. Booth & Associates, Inc.",47 North 2nd St.,New Bedford,MA,02740,Robert Smith,5089996220
00031343,Love and Learning Family Child Care,20 Johns Avenue,Holbrook,MA,02343,Elizabeth Mannion,6172010829
00031568,Lourdes Benoit,"545Centre Street Apt. 101,",jamaica Plain,MA,02130,Lourdes Benoit,6177923185
00031641,LS Cable & System,6120 Powers Ferry road,atlanta,GA,30339,DeAnna  Jones,7706576233
00031800,"J.B. Simons, Inc.",329 Lynnway,Lynn,MA,01901,Anita Naimo,7815952644
00031884,Great Adventure Preschool,2 Grove St,Leicester,MA,01524,Denise Wells,5088598050
00032123,Ludlow Community Center Randall Boys and Girls Club,91 Claudia's Way,Ludlow,MA,01056,Barbara Glanville,4135832072
00032179,LSW dba National Life Group,15455 Dallas Parkway,Addison,TX,75001,Darlene Flagg,2147229028
00032210,Lucy Krzanowski,164 MAIN ST,Haydenville,MA,01039,Lucy Krzanowski,4135227579
00032305,Patient Price,1 Broadway FL 14,Cambridge,MA,02142,Cloud Cray,6163040146
00032428,Pat Gibbs Landscape Design & Construction Inc.,11 Hillsview Street,Canton,MA,02021,Patrick Gibbs,6177847071
00032442,"LPI Consultants, LLC",PO Box 690,St Thomas,VI,00804,Chinue Uecker,5127096925
00032510,patricia a gannon dba first step flooring,76 webster street,worcester,MA,01603,patty gannon,5084506594
00032529,"Grafton, Inc.",6801 W. 121st Street,Overland Park,KS,66209,Stacey Greenwood,9134980701
00032627,"J. Supor Specialized Transport, Inc.","275 Route 10 East, Suite #428",Succasunna,NJ,07876,Linda Supor,8624326624
00032968,Grancy Health Services,19 Erie Avenue,Worcester,MA,01605,Grace Muchiru,5084270717
00032980,Granite America LLC,8420 Progress Court,Frederick,MD,21701,Khulan Bold,3013782941
00033065,"Partek Solutions, Inc.",5460 Edlou Pl.,Indianapolis,IN,46268,Chris Paddock,3179922744
00033856,"Business Integra Technology Solutions, Inc.","6550 Rock Spring Drive, Suite 600",Bethesda,MD,20817,Prathiba  Ramadoss,3014749600
00034105,"Graeme Lister Consulting, LLC",5 Bruce Lane,Wenham,MA,01984,Graeme Lister,9784686192
00034141,GraffitosSP,"GraffitoSP, One Broadway, 14th FL",Cambridge,MA,02142,Gustavo Quiroga,6174012871
00034163,"LSS Connections, LLC",103 Sierra Dr,New Bern,NC,28560,Thomas McKibbin,2526750647
00034442,Lowell Housing Authority,350 Moody Street,lowell,MA,01853,Eunice Zeigler,9783645332
00034515,"J. J. Keller & Associates, Inc.",3003 Breezewood Lane,Neenah,WI,54957,Krystal Wergin,8008433174
00034636,Cape Cod Cannabis Consulting,90 Shank Painter RD. Unit 212,Provincetown,MA,02657,Rod Glupker,6162919558
00035029,"J.A. Strategies, LLC",64 Euclid Avenue,Albany,NY,12203,Jennifer Amstutz,5184614773
00035219,"Graham Waste Services, Inc.",215 Chief Justice Cushing Highway,Cohasset,MA,02025,Brian Stack,7742973770
00035480,"Gravestone Conservation Services, Inc.",9 Elgren Way,Plymouth,MA,02360,Cheryle Caputo,7817065531
00035641,"Past Matters, LLC",107 E Montgomery Street,Baltimore,MD,21230,Debora Rodrigues,4104099695
00035825,"J.D.K. ENTERPRISEES, INC dba Robinsons Hardware & Rental",20 Nicholas Road,Framingham,MA,01701,JEFF UNDERWOOD,5088771888
00035840,Grainger HLS06,790 Cottage Street,Springfield,MA,01104,Erin Charbonneau,6176805709
00036097,"Cape Cod Academy, Inc.",50 Osterville West Barnstable Road,Osterville,MA,02655,Michael Merrill,5084285400
00036305,Cape Cod Collaborative School,418 Bumps River Road,Osterville,MA,02655,Marette Power,5084206950
00036429,Pathfinder Regional Vocational Technical School District,240 sykes Street,Palmer,MA,01069,Greg Falcone,4132839701
00036585,"Graviton Consulting Services, Inc.",8950 Cal Center Dr. Ste. 255,Sacramento,CA,95826,Gautam Chaudhary,9165882655
00037206,Parnassus Investments,"1 Market Street, Steuart Tower, Suite 1600",San Francisco,CA,94105,Scott Liffick,4157782661
00037407,"J. Lynn Enterprises, LLC",714 Tolland Stage Road,Tolland,CT,06084,Judith Imperatore M. Ed.,8604547494
00037516,LUCOS,P.O box 8423,Lowell,MA,01853,Luis Luna,9784558952
00037722,"LSK Enterprises, Inc",P.O. Box 62885,Virginia Beach,VA,23466-2885,Raymond LaFond,7573660166
00037814,Parro's Gun Shop & Police Supplies Inc,95 US RT 2,Waterbury,VT,05676,Henry Parro,8022448401
00038210,Graf Brothers Leasing,166 Lafayette Road,Salisbury,MA,01952,Tom Girard,8002250538
00038480,"Parts Town, LLC",1200 Greenbriar Drive,Addison,IL,60101,Shannon Smith,8448210720
00038764,Cape Cod Cat Hospital,280 B Rte. 130 STE 1,Forestdale,MA,02644,Wanda Sisum,5088332287
00039123,"LRWL, INC",1800 Alexander Bell Drive,Reston,VA,20191,Edward Meyers,7033853440
00039785,"Cape Cod Blue Economy Foundation, Inc.",5 Patti Page Way,Centerville,MA,02632,Chris Adams,5087445568
00039802,Lucky House MFG,189A Cedar St,Somerville,MA,02145,Josh Huff,6179417473
00039956,LP Adams Co Inc,484 Housatonic st,Dalton,MA,01226,Todd Walton,4133295151
00040383,LRS...Architecture,7365 Quinn Place,Loomis,CA,95650,Erika McCaffrey,9169954795
00040429,Cape Cod Adventure,35 Harrison st,Framingham,MA,01702,Benjamin Hansberry,5083103976
00040508,Love + Destroy,106 Mourning Dove Drive,Saunderstown,RI,02874,Britni Sweet,4015959605
00040515,LRQA,"810 Seventh Ave, Ste 1110",new york,NY,10019,Miles Corn,5166334200
00040832,"Pathfinder Tree Service, LLC",930 Pleasant Street,Norwood,MA,02062,Patricia Young,7815518733
00040868,Pashupatinath Buddha Foundation of New England,594 Washington St,Braintree,MA,02184,Susheel Paudel,7818433000
00040986,GREAT BARRINGTON PIZZA HOUSE,36 STATE ROAD,GREAT BARRINGTON,MA,01230,Cindy Giannaris,4135280260
00041481,Parrot Pops,992 Temple St.,Whitman,MA,02382,Thais Jardim,7815342781
00041573,"Patient Accounting Service Center, LLC dba GetixHealth","14141 Southwest Freeway, Suite 300",Sugar Land,TX,77478,Natalie Howe,7144147790
00042945,Great Adventure preschool,2 Grove St,Leicester,MA,01524,Julie Yaskoski,5088598050
00043433,"Parla Promotions, Inc",6 Blackstone Lane,South Grafton,MA,01560,Maria Maglitta,5088399600
00043711,LUCID TECHNOLOGIES INC,8600 Freeport Pkwy # 300,Irving,TX,75063,Vandana Mishra,2143854144
00043774,Lucmar Livery Inc,PO BOX 501,Granby,CT,06035,Paul Martins,4138837294
00044270,LP USA LLC,"7500 RIALTO BLVD BLDG 1, SUITE 250",AUSTIN,TX,78735,Tom  Donkers,8885808738
00044290,Grand Traverse Economic Development,13709 S West Bay Shore Drive,Traverse City,MI,49684,Elaine Clement,2319472748
00045067,"J.P. Morgan Investment Management, Inc.",383 Madison Ave,New York,NY,10179,Lauren Bienemann,2126481544
00045244,Cape Cod Chamber of Commerce,5 Patti Page Way,Centerville,MA,02632,Chris Adams,5083623225
00045382,"Passio Technologies, Inc.",6100 Lake Forrest Drive,Atlanta,GA,30328,Scott McLaren,6788253456
00045406,Lucille Cassis,99 Lawnview Drive,Braintree,MA,02184,Lucille  Cassis,7816541684
00045615,GravitasMD,4787 parma drive,oak park,CA,91377,Maryam Mizrahi,8183249590
00045705,A PURCELL & SONS CORPORATION,9 BABSON STREET,MATTAPAN,MA,02126,ANDREW  PURCELL,8573505333
00046001,j.m. brophy inc,780 Salem st,Groveland,MA,01834,John Brophy,9789981234
00046046,Cape Cod Concessions,PO BOX 1467,SOUTH DENNIS,MA,02660,Willam Fulginiti,5087378145
00046085,J.C. Fence Co.,2730 Turnpike Street,North Andover,MA,01845,Richard Lewandowski,9786810021
00046273,Cape Cod Christian Academy,"260 Underpass Road, #1471",Brewster,MA,02631,Tracy Waters,7815399762
00046642,Love & Mercy Christian Counseling Services,"1424 Blue Hill Avenue, # 1 Boston, MA 02126",Boston,MA,02126,Marie Berthonia ANTOINE,6178287447
00046662,Patriach Group LLC,6 Eastman Pl,Melrose,MA,02176,Joseph Tebandeke,6172089336
